INFO 2025-12-25 18:29:38,690 autoreload Watching for file changes with StatReloader
INFO 2025-12-25 18:34:43,248 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:34:43,251 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:34:59,150 log "OPTIONS /api/journals/ HTTP/1.1" 200 0
INFO 2025-12-25 18:34:59,152 log "OPTIONS /api/journals/ HTTP/1.1" 200 0
INFO 2025-12-25 18:34:59,165 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:34:59,165 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:35:11,325 log "OPTIONS /api/journals/ HTTP/1.1" 200 0
INFO 2025-12-25 18:35:11,329 log "OPTIONS /api/submissions/?status=PUBLISHED HTTP/1.1" 200 0
INFO 2025-12-25 18:35:11,330 log "OPTIONS /api/journals/ HTTP/1.1" 200 0
INFO 2025-12-25 18:35:11,330 log "OPTIONS /api/submissions/?status=PUBLISHED HTTP/1.1" 200 0
WARNING 2025-12-25 18:35:11,334 log Unauthorized: /api/journals/
WARNING 2025-12-25 18:35:11,336 log Unauthorized: /api/journals/
WARNING 2025-12-25 18:35:11,338 log Unauthorized: /api/submissions/
WARNING 2025-12-25 18:35:11,338 log "GET /api/journals/ HTTP/1.1" 401 172
WARNING 2025-12-25 18:35:11,339 log "GET /api/journals/ HTTP/1.1" 401 172
WARNING 2025-12-25 18:35:11,342 log Unauthorized: /api/submissions/
WARNING 2025-12-25 18:35:11,342 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 401 172
WARNING 2025-12-25 18:35:11,343 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 401 172
INFO 2025-12-25 18:35:12,287 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:35:12,288 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:36:27,836 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:36:27,839 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:36:27,843 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:36:27,845 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:36:52,260 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:36:52,262 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:36:52,811 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:36:52,815 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:36:54,020 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:36:54,027 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:37:00,019 log "POST /api/auth/token/ HTTP/1.1" 200 489
INFO 2025-12-25 18:37:00,101 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:37:00,111 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:37:00,115 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:37:00,124 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:37:05,511 log "GET /api/submissions/3/ HTTP/1.1" 200 628
INFO 2025-12-25 18:37:05,518 log "GET /api/submissions/3/ HTTP/1.1" 200 628
WARNING 2025-12-25 18:37:05,844 log Not Found: /media/submissions/manuscripts/1503fcbd-b162-4fce-9d82-60916f8b6af5.pdf
